"expiry_dt","strike_pr","ce_volume","pe_volume","total_volume","total_open_interest"
"2020-01-02","10250.00","0","0","0","0"
"2020-01-02","10300.00","0","0","0","0"
"2020-01-02","10350.00","0","0","0","0"
"2020-01-02","10400.00","0","0","0","0"
"2020-01-02","10450.00","0","0","0","0"
"2020-01-02","10500.00","0","0","0","0"
"2020-01-02","10550.00","0","0","0","0"
"2020-01-02","10600.00","0","0","0","0"
"2020-01-02","10650.00","0","0","0","0"
"2020-01-02","10700.00","0","0","0","0"
"2020-01-02","10750.00","0","0","0","0"
"2020-01-02","10800.00","0","0","0","0"
"2020-01-02","10850.00","0","0","0","0"
"2020-01-02","10900.00","0","0","0","0"
"2020-01-02","10950.00","0","0","0","0"
"2020-01-02","11000.00","0","0","0","0"
"2020-01-02","11050.00","0","0","0","0"
"2020-01-02","11100.00","0","0","0","0"
"2020-01-02","11150.00","0","0","0","0"
"2020-01-02","11200.00","0","0","0","0"
"2020-01-02","11250.00","0","0","0","0"
"2020-01-02","11300.00","0","0","0","0"
"2020-01-02","11350.00","0","0","0","0"
"2020-01-02","11400.00","0","0","0","0"
"2020-01-02","11450.00","0","0","0","0"
"2020-01-02","11500.00","0","0","0","0"
"2020-01-02","11550.00","0","0","0","0"
"2020-01-02","11600.00","0","0","0","0"
"2020-01-02","11650.00","0","0","0","0"
"2020-01-02","11700.00","0","0","0","0"
"2020-01-02","11750.00","0","0","0","0"
"2020-01-02","11800.00","0","0","0","0"
"2020-01-02","11850.00","0","0","0","0"
"2020-01-02","11900.00","0","0","0","0"
"2020-01-02","11950.00","0","0","0","0"
"2020-01-02","12000.00","0","0","0","0"
"2020-01-02","12050.00","0","0","0","0"
"2020-01-02","12100.00","0","0","0","0"
"2020-01-02","12150.00","0","0","0","0"
"2020-01-02","12200.00","0","0","0","0"
"2020-01-02","12250.00","0","0","0","0"
"2020-01-02","12300.00","0","0","0","0"
"2020-01-02","12350.00","0","0","0","0"
"2020-01-02","12400.00","0","0","0","0"
"2020-01-02","12450.00","0","0","0","0"
"2020-01-02","12500.00","0","0","0","0"
"2020-01-02","12550.00","0","0","0","0"
"2020-01-02","12600.00","0","0","0","0"
"2020-01-02","12650.00","0","0","0","0"
"2020-01-02","12700.00","0","0","0","0"
"2020-01-02","12750.00","0","0","0","0"
"2020-01-02","12800.00","0","0","0","0"
"2020-01-02","12850.00","0","0","0","0"
"2020-01-02","12900.00","0","0","0","0"
"2020-01-02","12950.00","0","0","0","0"
"2020-01-02","13000.00","0","0","0","0"
"2020-01-02","13050.00","0","0","0","0"
"2020-01-02","13100.00","0","0","0","0"
"2020-01-02","13150.00","0","0","0","0"
"2020-01-02","13200.00","0","0","0","0"
"2020-01-02","13250.00","0","0","0","0"
"2020-01-02","13300.00","0","0","0","0"
"2020-01-02","13350.00","0","0","0","0"
"2020-01-02","13400.00","0","0","0","0"
"2020-01-02","13450.00","0","0","0","0"
"2020-01-02","13500.00","0","0","0","0"
"2020-01-02","14200.00","0","0","0","0"
"2020-01-02","14300.00","0","0","0","0"
"2020-01-02","14400.00","0","0","0","0"
"2020-01-02","14500.00","0","0","0","0"
"2020-01-02","14600.00","0","0","0","0"
"2020-01-02","14700.00","0","0","0","0"
"2020-01-02","14800.00","0","0","0","0"
"2020-01-02","14900.00","0","0","0","0"
"2020-01-02","15000.00","0","0","0","0"
"2020-01-02","15100.00","0","0","0","0"
"2020-01-02","15200.00","0","0","0","0"
"2020-01-02","15300.00","0","0","0","0"
"2020-01-02","15400.00","0","0","0","0"
"2020-01-02","15500.00","0","0","0","0"
"2020-01-02","15600.00","0","0","0","0"
"2020-01-02","15700.00","0","0","0","0"
"2020-01-02","15800.00","0","0","0","0"
"2020-01-02","15900.00","0","0","0","0"
"2020-01-02","16000.00","0","0","0","0"
"2020-01-02","16100.00","0","0","0","0"
"2020-01-02","16200.00","0","0","0","0"
"2020-01-02","27500.00","0","0","0","0"
"2020-01-02","27600.00","0","0","0","0"
"2020-01-02","27700.00","0","0","0","0"
"2020-01-02","27800.00","0","0","0","0"
"2020-01-02","27900.00","0","0","0","0"
"2020-01-02","28000.00","0","0","0","0"
"2020-01-02","28100.00","0","0","0","0"
"2020-01-02","28200.00","0","0","0","0"
"2020-01-02","28300.00","0","0","0","0"
"2020-01-02","28400.00","0","0","0","0"
"2020-01-02","28500.00","0","0","0","0"
"2020-01-02","28600.00","0","0","0","0"
"2020-01-02","28700.00","0","0","0","0"
"2020-01-02","28800.00","0","0","0","0"
"2020-01-02","28900.00","0","0","0","0"
"2020-01-02","29000.00","0","0","0","0"
"2020-01-02","29100.00","0","0","0","0"
"2020-01-02","29200.00","0","0","0","0"
"2020-01-02","29300.00","0","0","0","0"
"2020-01-02","29400.00","0","0","0","0"
"2020-01-02","29500.00","0","0","0","0"
"2020-01-02","29600.00","0","0","0","0"
"2020-01-02","29700.00","0","0","0","0"
"2020-01-02","29800.00","0","0","0","0"
"2020-01-02","29900.00","0","0","0","0"
"2020-01-02","30000.00","0","0","0","0"
"2020-01-02","30100.00","0","0","0","0"
"2020-01-02","30200.00","0","0","0","0"
"2020-01-02","30300.00","0","0","0","0"
"2020-01-02","30400.00","0","0","0","0"
"2020-01-02","30500.00","0","0","0","0"
"2020-01-02","30600.00","0","0","0","0"
"2020-01-02","30700.00","0","0","0","0"
"2020-01-02","30800.00","0","0","0","0"
"2020-01-02","30900.00","0","0","0","0"
"2020-01-02","31000.00","0","0","0","0"
"2020-01-02","31100.00","0","0","0","0"
"2020-01-02","31200.00","0","0","0","0"
"2020-01-02","31300.00","0","0","0","0"
"2020-01-02","31400.00","0","0","0","0"
"2020-01-02","31500.00","0","0","0","0"
"2020-01-02","31600.00","0","0","0","0"
"2020-01-02","31700.00","0","0","0","0"
"2020-01-02","31800.00","0","0","0","0"
"2020-01-02","31900.00","0","0","0","0"
"2020-01-02","32000.00","0","0","0","0"
"2020-01-02","32100.00","0","0","0","0"
"2020-01-02","32200.00","0","0","0","0"
"2020-01-02","32300.00","0","0","0","0"
"2020-01-02","32400.00","0","0","0","0"
"2020-01-02","32500.00","0","0","0","0"
"2020-01-02","32600.00","0","0","0","0"
"2020-01-02","32700.00","0","0","0","0"
"2020-01-02","32800.00","0","0","0","0"
"2020-01-02","32900.00","0","0","0","0"
"2020-01-02","33000.00","0","0","0","0"
"2020-01-02","33100.00","0","0","0","0"
"2020-01-02","33200.00","0","0","0","0"
"2020-01-02","33300.00","0","0","0","0"
"2020-01-02","33400.00","0","0","0","0"
"2020-01-02","33500.00","0","0","0","0"
"2020-01-02","33600.00","0","0","0","0"
"2020-01-02","33700.00","0","0","0","0"
"2020-01-09","10350.00","0","0","0","0"
"2020-01-09","10400.00","0","0","0","0"
"2020-01-09","10450.00","0","0","0","0"
"2020-01-09","10500.00","0","0","0","0"
"2020-01-09","10550.00","0","0","0","0"
"2020-01-09","10600.00","0","0","0","0"
"2020-01-09","10650.00","0","0","0","0"
"2020-01-09","10700.00","0","0","0","0"
"2020-01-09","10750.00","0","0","0","0"
"2020-01-09","10800.00","0","0","0","0"
"2020-01-09","10850.00","0","0","0","0"
"2020-01-09","10900.00","0","0","0","0"
"2020-01-09","10950.00","0","0","0","0"
"2020-01-09","11000.00","0","0","0","0"
"2020-01-09","11050.00","0","0","0","0"
"2020-01-09","11100.00","0","0","0","0"
"2020-01-09","11150.00","0","0","0","0"
"2020-01-09","11200.00","0","0","0","0"
"2020-01-09","11250.00","0","0","0","0"
"2020-01-09","11300.00","0","0","0","0"
"2020-01-09","11350.00","0","0","0","0"
"2020-01-09","11400.00","0","0","0","0"
"2020-01-09","11450.00","0","0","0","0"
"2020-01-09","11500.00","0","0","0","0"
"2020-01-09","11550.00","0","0","0","0"
"2020-01-09","11600.00","0","0","0","0"
"2020-01-09","11650.00","0","0","0","0"
"2020-01-09","11700.00","0","0","0","0"
